Red Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)
( 202, 270198, 1101100, 7 * 270198 )
( 204, 268649, 1101110, 7 * 268649 )
( 206, 262908, 1110011, 7 * 262908 )
( 208, 264451, 1110010, 7 * 264451 )
( 210, 268467, 1101111, 7 * 268467 )
( 212, 272468, 1100010, 7 * 272468 )
( 214, 265230, 1110001, 7 * 265230 )
( 216, 258015, 1111111, 7 * 258015 )
( 218, 240507, 00010001, 8 * 240507 )
( 220, 229600, 00010011, 8 * 229600 )
( 222, 244749, 00010000, 8 * 244749 )
( 224, 260859, 1111110, 7 * 260859 )
( 226, 271295, 1100011, 7 * 271295 )
( 228, 275025, 1100000, 7 * 275025 )
( 230, 277597, 1011001, 7 * 277597 )
( 232, 298575, 1010100, 7 * 298575 )
( 234, 337860, 1001001, 7 * 337860 )
( 236, 387089, 0011101, 7 * 387089 )
( 238, 426677, 0010101, 7 * 426677 )
( 240, 431114, 0010100, 7 * 431114 )
( 242, 436467, 0001110, 7 * 436467 )
( 244, 446307, 0001011, 7 * 446307 )
( 246, 416843, 0010110, 7 * 416843 )
( 248, 327039, 1001010, 7 * 327039 )
( 250, 207945, 00111000, 8 * 207945 )
( 252, 105991, 000111101, 9 * 105991 )
( 254, 65182, 111110001, 9 * 65182 )

With total of 32061243.875 bytes

Total memory after compression is 36152533.75 + 32061243.875 + 28833077 = 97046854.625 bytes
Compression ratio is 73.3124569440607%
------------------------- End of logs ----------------------------
